SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
UACC-DAC-QSFP28-0.5M,100G Direct Attach Cable,QSFP28 direct attach cable with a 100 Gbps max data rate.,46.00,46.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-dac-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-QSFP28-0.5M-10,100G Direct Attach Cable,QSFP28 direct attach cable with a 100 Gbps max data rate.,415.00,415.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-dac-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-QSFP28-1M,100G Direct Attach Cable,QSFP28 direct attach cable with a 100 Gbps max data rate.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-dac-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-QSFP28-1M-10,100G Direct Attach Cable,QSFP28 direct attach cable with a 100 Gbps max data rate.,459.00,459.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-dac-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-QSFP28-3M,100G Direct Attach Cable,QSFP28 direct attach cable with a 100 Gbps max data rate.,75.00,75.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-dac-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-QSFP28-10M,100G Long-Range Direct Attach Cable,Long-range QSFP28 direct attach cable with a 100 Gbps max data rate.,255.00,255.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-aoc-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-QSFP28-20M,100G Long-Range Direct Attach Cable,Long-range QSFP28 direct attach cable with a 100 Gbps max data rate.,285.00,285.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-aoc-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-QSFP28-30M,100G Long-Range Direct Attach Cable,Long-range QSFP28 direct attach cable with a 100 Gbps max data rate.,315.00,315.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-aoc-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-QSFP28-5M,100G Long-Range Direct Attach Cable,Long-range QSFP28 direct attach cable with a 100 Gbps max data rate.,240.00,240.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-aoc-qsfp28,Exact,2026-08-21T06:26:29+00:00
UACC-OM-QSFP28-LR4,100G LR4 Single-Mode Optical Module,QSFP28 transceiver that supports 100G connections up to 10 km using single-mode fiber with a duplex LC UPC connector.,429.00,429.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-qsfp28-lr4,Exact,2026-08-21T06:26:29+00:00
